Id;SalePrice;MSSubClass;LotArea;OverallQual;OverallCond;YearBuilt
1461;169277.0525;20;11622;5;6;1961
1462;187758.394;20;14267;6;6;1958
1463;183583.6836;60;13830;5;5;1997
1464;179317.4775;60;9978;6;6;1998
1465;150730.08;120;5005;8;5;1992
1466;177150.9892;60;10000;6;5;1993
1467;172070.6592;20;7980;6;7;1992
1468;175110.9565;60;8402;6;5;1998
1469;162011.6988;20;10176;7;5;1990
1470;160726.2478;20;8400;4;5;1970
1471;157933.2795;120;5858;7;5;1999
1472;145291.245;160;1680;6;5;1971
1473;159672.0176;160;1680;5;5;1971
1474;164167.5183;160;2280;6;6;1975
1475;150891.6382;120;2280;7;6;1975
1476;179460.9652;60;12858;9;5;2009
1477;185034.6289;20;12883;8;5;2009
1478;182352.1926;20;11520;9;5;2005
1479;183053.4582;20;14122;8;5;2005
1480;187823.3393;20;14300;9;5;2003
1481;186544.1143;60;13650;8;5;2002
1482;158230.7752;120;7132;8;5;2006
1483;190552.8293;20;18494;6;5;2005
1484;147183.6749;120;3203;7;5;2006
1485;185855.3009;80;13300;7;5;2004
1486;174350.4707;60;8577;7;5;2004
1487;201740.6207;60;17433;8;5;1998
1488;162986.3789;20;8987;8;5;2005
1489;162330.1991;20;9215;7;5;2009
1490;165845.9386;20;10440;6;5;2005
1491;180929.6229;60;11920;7;5;2004
1492;163481.5015;30;9800;5;5;1920
1493;187798.0767;20;15410;6;6;1974
1494;198822.1989;60;13143;8;5;1993
1495;194868.4099;60;11134;8;5;1992
1496;152605.2986;120;4835;7;5;2004
1497;147797.7028;160;3515;7;5;2004
1498;150521.969;160;3215;7;5;2004
1499;146991.6302;160;2544;7;5;2004
1500;150306.3078;160;2544;6;5;2005
1501;151164.3725;160;2980;6;5;2000
1502;151133.707;160;2403;7;5;2003
1503;156214.0425;20;12853;8;5;2010
1504;171992.7607;60;7379;8;5;2000
1505;173214.9125;20;8000;7;5;2002
1506;192429.1873;20;10456;6;6;1967
1507;190878.6951;60;10791;6;5;1993
1508;194542.5441;50;18837;6;5;1978
1509;191849.4391;60;9600;6;6;1971
1510;176363.7739;20;9600;5;5;1966
1511;176954.1854;20;9900;5;5;1966
1512;176521.217;20;9680;5;6;1967
1513;179436.7048;80;10600;6;5;1964
1514;220079.7568;90;13260;5;6;1962
1515;175502.9181;50;9724;5;7;1952
1516;188321.0738;50;17360;6;6;1949
1517;163276.3245;85;11380;6;8;1966
1518;185911.3663;90;8267;5;5;1958
1519;171392.831;20;8197;7;5;2003
1520;174418.207;20;8050;5;5;1959
1521;179682.7096;20;10725;5;5;1959
1522;179423.7516;20;10032;6;5;1959
1523;171756.9181;50;8382;4;5;1956
1524;166849.6382;20;10950;5;7;1952
1525;181122.1687;20;10895;5;6;1955
1526;170934.4627;190;13587;5;5;1958
1527;159738.2926;30;7898;4;7;1920
1528;174445.7596;50;8064;6;8;1948
1529;174706.3637;20;7635;5;6;1960
1530;164507.6725;20;9760;6;7;1963
1531;163602.5122;50;4800;4;5;1900
1532;154126.2702;30;4485;5;7;1920
1533;171104.8535;20;5805;5;7;1957
1534;167735.3927;45;6900;6;7;1938
1535;183003.6133;50;11851;5;7;1948
1536;172580.3812;50;8239;5;6;1920
1537;165407.8891;30;9656;2;2;1923
